Season,StartDate,EndDate,TimeSpan,Url
2016-season-1,2016-06-14,2016-09-13,13 weeks,<https://nexuscompendium.com/ranked/2016-season-1>
2016-season-2,2016-09-13,2016-12-14,13 weeks,<https://nexuscompendium.com/ranked/2016-season-2>
2016-season-3,2016-12-14,2017-03-14,13 weeks,<https://nexuscompendium.com/ranked/2016-season-3>
2017-season-1,2017-03-14,2017-06-13,13 weeks,<https://nexuscompendium.com/ranked/2017-season-1>
2017-season-2,2017-06-13,2017-09-05,12 weeks,<https://nexuscompendium.com/ranked/2017-season-2>
2017-season-3,2017-09-05,2017-12-12,14 weeks,<https://nexuscompendium.com/ranked/2017-season-3>
2018-season-1,2017-12-12,2018-03-06,12 weeks,<https://nexuscompendium.com/ranked/2018-season-1>
2018-season-2,2018-03-06,2018-07-10,18 weeks,<https://nexuscompendium.com/ranked/2018-season-2>
2018-season-3,2018-07-10,2018-09-25,11 weeks,<https://nexuscompendium.com/ranked/2018-season-3>
2018-season-4,2018-09-25,2018-12-11,11 weeks,<https://nexuscompendium.com/ranked/2018-season-4>
2019-season-1,2018-12-11,2019-03-26,15 weeks,<https://nexuscompendium.com/ranked/2019-season-1>
2019-season-2,2019-03-26,2019-08-06,19 weeks,<https://nexuscompendium.com/ranked/2019-season-2>
2019-season-3,2019-08-06,2019-12-03,17 weeks,<https://nexuscompendium.com/ranked/2019-season-3>
2020-season-1,2019-12-03,2020-04-14,19 weeks,<https://nexuscompendium.com/ranked/2020-season-1>
2020-season-2,2020-04-14,2020-06-23,10 weeks,<https://nexuscompendium.com/ranked/2020-season-2>
2020-season-3,2020-06-23,2020-09-08,11 weeks,<https://nexuscompendium.com/ranked/2020-season-3>
2020-season-4,2020-09-08,2020-12-01,12 weeks,<https://nexuscompendium.com/ranked/2020-season-4>
2021-season-1,2020-12-01,2021-05-18,24 weeks,<https://nexuscompendium.com/ranked/2021-season-1>
2021-season-2,2021-05-18,2021-09-28,19 weeks,<https://nexuscompendium.com/ranked/2021-season-2>
